Id,mes,chuva-1,chuvaA,chuva+1,temp-1,tempA,temp+1,bilro,Producao
1,10,65.5,172.7,77.7,22.1,24.95,25.22,115,682.45
2,11,172.7,77.7,22.4,24.95,25.22,25.81,0.29,1720.97
3,12,77.7,22.4,194.1,25.22,25.81,25.93,2745,16289.83
4,1,22.4,194.1,159.8,25.81,25.93,26.07,3.2,18989.96
5,2,194.1,159.8,126.2,25.93,26.07,25.99,1.21,7180.58
6,3,159.8,126.2,209.2,26.07,25.99,25.25,2775,16467.86
7,4,126.2,209.2,63.5,25.99,25.25,24.24,3.77,22372.55
8,5,209.2,63.5,53.7,25.25,24.24,21.88,6575,39018.43
9,6,63.5,53.7,262.5,24.24,21.88,21.5,3.37,19998.8
10,7,53.7,262.5,113.2,21.88,21.5,21.08,1.13,6705.83
11,8,262.5,113.2,82,21.5,21.08,22.12,0.17,1008.84
12,9,113.2,82,134.1,21.08,22.12,24.01,0.3,1780.31
13,10,82,134.1,118.1,22.12,24.01,24.79,0.14,1039.28
14,11,134.1,118.1,149.4,24.01,24.79,25.32,0.06,445.4
15,12,118.1,149.4,147.8,24.79,25.32,25.07,1015,7534.76
16,1,149.4,147.8,66.6,25.32,25.07,25.16,2.04,15143.76
17,2,147.8,66.6,241.8,25.07,25.16,25.55,3.28,24348.8
18,3,66.6,241.8,265.4,25.16,25.55,24.76,2255,16739.8
19,4,241.8,265.4,111.6,25.55,24.76,23.32,1.5,11135.12
20,5,265.4,111.6,65.1,24.76,23.32,22.18,1055,7831.7
21,6,111.6,65.1,188.6,23.32,22.18,21.17,1.97,14624.12
22,7,65.1,188.6,92.6,22.18,21.17,21.73,1.89,14030.25
23,8,188.6,92.6,61.5,21.17,21.73,21.23,0.2,1484.68
24,9,92.6,61.5,255.7,21.73,21.23,23.56,0.15,1113.51
25,10,61.5,255.7,178.9,21.23,23.56,23.46,302,1201.43
26,11,255.7,178.9,127.3,23.56,23.46,24.31,566,2251.82
27,12,178.9,127.3,154,23.46,24.31,24.56,2927,11636.7
28,1,127.3,154,154.8,24.31,24.56,24.02,6786,26980.66
29,2,154,154.8,150.2,24.56,24.02,24.49,6195,24632.73
30,3,154.8,150.2,58.5,24.02,24.49,24.27,7039,27989.86
31,4,150.2,58.5,117.4,24.49,24.27,22.45,5.48,21790.49
32,5,58.5,117.4,127.1,24.27,22.45,22.46,3.46,13758.08
33,6,117.4,127.1,94.4,22.45,22.46,21.47,1602,6371.01
34,7,127.1,94.4,230.2,22.46,21.47,20.95,5513,21920.93
35,8,94.4,230.2,34.4,21.47,20.95,22.34,3609,14348.5
36,9,230.2,34.4,134.7,20.95,22.34,23,556,2210.63
37,10,34.4,134.7,130.1,22.34,23,24.55,406,1834.89
38,11,134.7,130.1,17.2,23,24.55,25.04,596,2689.01
39,12,130.1,17.2,199.1,24.55,25.04,25.56,2044,9226.42
40,1,17.2,199.1,229,25.04,25.56,25.12,3174,14328.39
41,2,199.1,229,51.1,25.56,25.12,25.62,1424,6430.24
42,3,229,51.1,108.7,25.12,25.62,24.5,3901,17611.71
43,4,51.1,108.7,72.3,25.62,24.5,23.57,3.56,16069.1
44,5,108.7,72.3,241.9,24.5,23.57,22.75,5.47,24691.47
45,6,72.3,241.9,128.2,23.57,22.75,21.99,4117,18582.74
46,7,241.9,128.2,125.1,22.75,21.99,21.62,1911,8625.61
47,8,128.2,125.1,158.5,21.99,21.62,22.64,1619,7307.09
48,9,125.1,158.5,119.3,21.62,22.64,23.58,1171,5283.85
49,10,158.5,119.3,377,22.64,23.58,24.38,393,1647.11
50,11,119.3,377,112.1,23.58,24.38,25.61,154,647.25
51,12,377,112.1,193.3,24.38,25.61,25.23,1264,5301.18
52,1,112.1,193.3,127.3,25.61,25.23,25.36,5113,21436.56
53,2,193.3,127.3,242,25.23,25.36,25.27,7006,29372.63
54,3,127.3,242,30.5,25.36,25.27,25.27,6768,28375.19
55,4,242,30.5,114.2,25.27,25.27,24,4.9,20542.97
56,5,30.5,114.2,185.7,25.27,24,22.62,3243,13594.68
57,6,114.2,185.7,217.7,24,22.62,22.22,2256,9457.59
58,7,185.7,217.7,38.3,22.62,22.22,21.72,2.11,8846.57
59,8,217.7,38.3,90.1,22.22,21.72,22.67,1484,6221.34
60,9,38.3,90.1,112.7,21.72,22.67,23.68,1305,5472.65
61,10,90.1,112.7,152.8,22.67,23.68,24.54,779,2883.49
62,11,112.7,152.8,315.4,23.68,24.54,24.7,666,2465.47
63,12,152.8,315.4,99.8,24.54,24.7,25.16,3503,12971.44
64,1,315.4,99.8,114.8,24.7,25.16,25.5,9646,35715.19
65,2,99.8,114.8,80.3,25.16,25.5,25.79,6704,24821.05
66,3,114.8,80.3,42.5,25.5,25.79,25.36,4093,15153.26
67,4,80.3,42.5,67.4,25.79,25.36,24.64,2724,10083.69
68,5,42.5,67.4,361.4,25.36,24.64,22.36,2326,8612.08
69,6,67.4,361.4,179.5,24.64,22.36,21.57,2285,8458.52
70,7,361.4,179.5,131.4,22.36,21.57,21.45,4027,14910.12
71,8,179.5,131.4,52.7,21.57,21.45,23.24,2794,10343.88
72,9,131.4,52.7,216.5,21.45,23.24,24.44,1274,4717.66
73,10,52.7,216.5,168.4,23.24,24.44,26.07,124,404.82
74,11,216.5,168.4,61.6,24.44,26.07,26.51,437,1427.22
75,12,168.4,61.6,187.1,26.07,26.51,26.73,2467,8062.49
76,1,61.6,187.1,9.5,26.51,26.73,26.7,1444,4718.5
77,2,187.1,9.5,70.6,26.73,26.7,26.85,1532,5008.46
78,3,9.5,70.6,91.1,26.7,26.85,25.22,1801,5887.77
79,4,70.6,91.1,66,26.85,25.22,24.03,1078,3524.75
80,5,91.1,66,35.8,25.22,24.03,23.31,4537,14829.56
81,6,66,35.8,180.5,24.03,23.31,22.11,8291,27102.18
82,7,35.8,180.5,131.2,23.31,22.11,22.18,2098,6857.45
83,8,180.5,131.2,51.9,22.11,22.18,22.5,3233,10566.72
84,9,131.2,51.9,216.5,22.18,22.5,24.32,5026,16430.01
85,10,51.9,216.5,168.4,22.5,24.32,24.82,1427,5063.04
86,11,216.5,168.4,61.6,24.32,24.82,25.81,1241,4402.82
87,12,168.4,61.6,67.3,24.82,25.81,26.04,1023,3630.18
88,1,61.6,67.3,166.3,25.81,26.04,25.24,1546,5486.15
