ano/mï¿½s,chuva -3,chuva -2,chuva -1,chuvaA,chuva +1,chuva +2,temp-3,temp-2,temp-1,tempA,temp+1,temp+2,bilro,prod
2010-out,332.40,181.80,65.50,172.70,77.70,22.40,21.50,21.10,22.10,24.95,25.22,25.81,0.115,682.45
2010-nov,354.50,238.20,172.70,77.70,22.40,194.10,21.10,22.10,24.95,25.22,25.81,25.93,0.290,1720.97
2010-dez,315.90,250.40,77.70,22.40,194.10,159.80,22.10,24.95,25.22,25.81,25.93,26.07,2.745,16289.83
2010-jan,272.80,100.10,22.40,194.10,159.80,126.20,24.95,25.22,25.81,25.93,26.07,25.99,3.200,18989.96
2010-fev,294.20,216.50,194.10,159.80,126.20,209.20,25.22,25.81,25.93,26.07,25.99,25.25,1.210,7180.58
2010-mar,376.30,353.90,159.80,126.20,209.20,63.50,25.81,25.93,26.07,25.99,25.25,24.24,2.775,16467.86
2010-abr,480.10,286.00,126.20,209.20,63.50,53.70,25.93,26.07,25.99,25.25,24.24,21.88,3.770,22372.55
2010-mai,495.20,335.40,209.20,63.50,53.70,262.50,26.07,25.99,25.25,24.24,21.88,21.50,6.575,39018.43
2010-jun,398.90,272.70,63.50,53.70,262.50,113.20,25.99,25.25,24.24,21.88,21.50,21.08,3.370,19998.80
2010-jul,326.40,117.20,53.70,262.50,113.20,82.00,25.25,24.24,21.88,21.50,21.08,22.12,1.130,6705.83
2010-ago,379.70,316.20,262.50,113.20,82.00,134.10,24.24,21.88,21.50,21.08,22.12,24.01,0.170,1008.84
2010-set,429.40,375.70,113.20,82.00,134.10,118.10,21.88,21.50,21.08,22.12,24.01,24.79,0.300,1780.31
2011-out,457.70,195.20,82.00,134.10,118.10,149.40,21.50,21.08,22.12,24.01,24.79,25.32,0.140,1039.28
2011-nov,329.30,216.10,134.10,118.10,149.40,147.80,21.08,22.12,24.01,24.79,25.32,25.07,0.060,445.40
2011-dez,334.20,252.20,118.10,149.40,147.80,66.60,22.12,24.01,24.79,25.32,25.07,25.16,1.015,7534.76
2011-jan,401.60,267.50,149.40,147.80,66.60,241.80,24.01,24.79,25.32,25.07,25.16,25.55,2.040,15143.76
2011-fev,415.30,297.20,147.80,66.60,241.80,265.40,24.79,25.32,25.07,25.16,25.55,24.76,3.280,24348.80
2011-mar,363.80,214.40,66.60,241.80,265.40,111.60,25.32,25.07,25.16,25.55,24.76,23.32,2.255,16739.80
2011-abr,456.20,308.40,241.80,265.40,111.60,65.10,25.07,25.16,25.55,24.76,23.32,22.18,1.500,11135.12
2011-mai,573.80,507.20,265.40,111.60,65.10,188.60,25.16,25.55,24.76,23.32,22.18,21.17,1.055,7831.70
2011-jun,618.80,377.00,111.60,65.10,188.60,92.60,25.55,24.76,23.32,22.18,21.17,21.73,1.970,14624.12
2011-jul,442.10,176.70,65.10,188.60,92.60,61.50,24.76,23.32,22.18,21.17,21.73,21.23,1.890,14030.25
2011-ago,365.30,253.70,188.60,92.60,61.50,255.70,23.32,22.18,21.17,21.73,21.23,23.56,0.200,1484.68
2011-set,346.30,281.20,92.60,61.50,255.70,178.90,22.18,21.17,21.73,21.23,23.56,23.46,0.150,1113.51
2012-out,342.70,154.10,61.50,255.70,178.90,127.30,21.17,21.73,21.23,23.56,23.46,24.31,0.302,1201.43
2012-nov,409.80,317.20,255.70,178.90,127.30,154.00,21.73,21.23,23.56,23.46,24.31,24.56,0.566,2251.82
2012-dez,496.10,434.60,178.90,127.30,154.00,154.80,21.23,23.56,23.46,24.31,24.56,24.02,2.927,11636.70
2012-jan,561.90,306.20,127.30,154.00,154.80,150.20,23.56,23.46,24.31,24.56,24.02,24.49,6.786,26980.66
2012-fev,460.20,281.30,154.00,154.80,150.20,58.50,23.46,24.31,24.56,24.02,24.49,24.27,6.195,24632.73
2012-mar,436.10,308.80,154.80,150.20,58.50,117.40,24.31,24.56,24.02,24.49,24.27,22.45,7.039,27989.86
2012-abr,459.00,305.00,150.20,58.50,117.40,127.10,24.56,24.02,24.49,24.27,22.45,22.46,5.480,21790.49
2012-mai,363.50,208.70,58.50,117.40,127.10,94.40,24.02,24.49,24.27,22.45,22.46,21.47,3.460,13758.08
2012-jun,326.10,175.90,117.40,127.10,94.40,230.20,24.49,24.27,22.45,22.46,21.47,20.95,1.602,6371.01
2012-jul,303.00,244.50,127.10,94.40,230.20,34.40,24.27,22.45,22.46,21.47,20.95,22.34,5.513,21920.93
2012-ago,338.90,221.50,94.40,230.20,34.40,134.70,22.45,22.46,21.47,20.95,22.34,23.00,3.609,14348.50
2012-set,451.70,324.60,230.20,34.40,134.70,130.10,22.46,21.47,20.95,22.34,23.00,24.55,0.556,2210.63
2013-out,359.00,264.60,34.40,134.70,130.10,17.20,21.47,20.95,22.34,23.00,24.55,25.04,0.406,1834.89
2013-nov,399.30,169.10,134.70,130.10,17.20,199.10,20.95,22.34,23.00,24.55,25.04,25.56,0.596,2689.01
2013-dez,299.20,264.80,130.10,17.20,199.10,229.00,22.34,23.00,24.55,25.04,25.56,25.12,2.044,9226.42
2013-jan,282.00,147.30,17.20,199.10,229.00,51.10,23.00,24.55,25.04,25.56,25.12,25.62,3.174,14328.39
2013-fev,346.40,216.30,199.10,229.00,51.10,108.70,24.55,25.04,25.56,25.12,25.62,24.50,1.424,6430.24
2013-mar,445.30,428.10,229.00,51.10,108.70,72.30,25.04,25.56,25.12,25.62,24.50,23.57,3.901,17611.71
2013-abr,479.20,280.10,51.10,108.70,72.30,241.90,25.56,25.12,25.62,24.50,23.57,22.75,3.560,16069.10
2013-mai,388.80,159.80,108.70,72.30,241.90,128.20,25.12,25.62,24.50,23.57,22.75,21.99,5.470,24691.47
2013-jun,232.10,181.00,72.30,241.90,128.20,125.10,25.62,24.50,23.57,22.75,21.99,21.62,4.117,18582.74
2013-jul,422.90,314.20,241.90,128.20,125.10,158.50,24.50,23.57,22.75,21.99,21.62,22.64,1.911,8625.61
2013-ago,442.40,370.10,128.20,125.10,158.50,119.30,23.57,22.75,21.99,21.62,22.64,23.58,1.619,7307.09
2013-set,495.20,253.30,125.10,158.50,119.30,377.00,22.75,21.99,21.62,22.64,23.58,24.38,1.171,5283.85
2014-out,411.80,283.60,158.50,119.30,377.00,112.10,21.99,21.62,22.64,23.58,24.38,25.61,0.393,1647.11
2014-nov,402.90,277.80,119.30,377.00,112.10,193.30,21.62,22.64,23.58,24.38,25.61,25.23,0.154,647.25
2014-dez,654.80,496.30,377.00,112.10,193.30,127.30,22.64,23.58,24.38,25.61,25.23,25.36,1.264,5301.18
2014-jan,608.40,489.10,112.10,193.30,127.30,242.00,23.58,24.38,25.61,25.23,25.36,25.27,5.113,21436.56
2014-fev,682.40,305.40,193.30,127.30,242.00,30.50,24.38,25.61,25.23,25.36,25.27,25.27,7.006,29372.63
2014-mar,432.70,320.60,127.30,242.00,30.50,114.20,25.61,25.23,25.36,25.27,25.27,24.00,6.768,28375.19
2014-abr,562.60,369.30,242.00,30.50,114.20,185.70,25.23,25.36,25.27,25.27,24.00,22.62,4.900,20542.97
2014-mai,399.80,272.50,30.50,114.20,185.70,217.70,25.36,25.27,25.27,24.00,22.62,22.22,3.243,13594.68
2014-jun,386.70,144.70,114.20,185.70,217.70,38.30,25.27,25.27,24.00,22.62,22.22,21.72,2.256,9457.59
2014-jul,330.40,299.90,185.70,217.70,38.30,90.10,25.27,24.00,22.62,22.22,21.72,22.67,2.110,8846.57
2014-ago,517.60,403.40,217.70,38.30,90.10,112.70,24.00,22.62,22.22,21.72,22.67,23.68,1.484,6221.34
2014-set,441.70,256.00,38.30,90.10,112.70,152.80,22.62,22.22,21.72,22.67,23.68,24.54,1.305,5472.65
2015-out,346.10,128.40,90.10,112.70,152.80,315.40,22.22,21.72,22.67,23.68,24.54,24.70,0.779,2883.49
2015-nov,241.10,202.80,112.70,152.80,315.40,99.80,21.72,22.67,23.68,24.54,24.70,25.16,0.666,2465.47
2015-dez,355.60,265.50,152.80,315.40,99.80,114.80,22.67,23.68,24.54,24.70,25.16,25.50,3.503,12971.44
2015-jan,580.90,468.20,315.40,99.80,114.80,80.30,23.68,24.54,24.70,25.16,25.50,25.79,9.646,35715.19
2015-fev,568.00,415.20,99.80,114.80,80.30,42.50,24.54,24.70,25.16,25.50,25.79,25.36,6.704,24821.05
2015-mar,530.00,214.60,114.80,80.30,42.50,67.40,24.70,25.16,25.50,25.79,25.36,24.64,4.093,15153.26
2015-abr,294.90,195.10,80.30,42.50,67.40,361.40,25.16,25.50,25.79,25.36,24.64,22.36,2.724,10083.69
2015-mai,237.60,122.80,42.50,67.40,361.40,179.50,25.50,25.79,25.36,24.64,22.36,21.57,2.326,8612.08
2015-jun,190.20,109.90,67.40,361.40,179.50,131.40,25.79,25.36,24.64,22.36,21.57,21.45,2.285,8458.52
2015-jul,471.30,428.80,361.40,179.50,131.40,52.70,25.36,24.64,22.36,21.57,21.45,23.24,4.027,14910.12
2015-ago,608.30,540.90,179.50,131.40,52.70,216.50,24.64,22.36,21.57,21.45,23.24,24.44,2.794,10343.88
2015-set,672.30,310.90,131.40,52.70,216.50,168.40,22.36,21.57,21.45,23.24,24.44,26.07,1.274,4717.66
2016-out,363.60,184.10,52.70,216.50,168.40,61.60,21.57,21.45,23.24,24.44,26.07,26.51,0.124,404.82
2016-nov,400.60,269.20,216.50,168.40,61.60,187.10,21.45,23.24,24.44,26.07,26.51,26.73,0.437,1427.22
2016-dez,437.60,384.90,168.40,61.60,187.10,9.50,23.24,24.44,26.07,26.51,26.73,26.70,2.467,8062.49
2016-jan,446.50,230.00,61.60,187.10,9.50,70.60,24.44,26.07,26.51,26.73,26.70,26.85,1.444,4718.50
2016-fev,417.10,248.70,187.10,9.50,70.60,91.10,26.07,26.51,26.73,26.70,26.85,25.22,1.532,5008.46
2016-mar,258.20,196.60,9.50,70.60,91.10,66.00,26.51,26.73,26.70,26.85,25.22,24.03,1.801,5887.77
2016-abr,267.20,80.10,70.60,91.10,66.00,35.80,26.73,26.70,26.85,25.22,24.03,23.31,1.078,3524.75
2016-mai,171.20,161.70,91.10,66.00,35.80,180.50,26.70,26.85,25.22,24.03,23.31,22.11,4.537,14829.56
2016-jun,227.70,157.10,66.00,35.80,180.50,131.20,26.85,25.22,24.03,23.31,22.11,22.18,8.291,27102.18
2016-jul,192.90,101.80,35.80,180.50,131.20,51.90,25.22,24.03,23.31,22.11,22.18,22.50,2.098,6857.45
2016-ago,282.30,216.30,180.50,131.20,51.90,216.50,24.03,23.31,22.11,22.18,22.50,24.32,3.233,10566.72
2016-set,347.50,311.70,131.20,51.90,216.50,168.40,23.31,22.11,22.18,22.50,24.32,24.82,5.026,16430.01
2017-out,363.60,183.10,51.90,216.50,168.40,61.60,22.11,22.18,22.50,24.32,24.82,25.81,1.427,5063.04
2017-nov,399.60,268.40,216.50,168.40,61.60,67.30,22.18,22.50,24.32,24.82,25.81,26.04,1.241,4402.82
2017-dez,436.80,384.90,168.40,61.60,67.30,166.30,22.50,24.32,24.82,25.81,26.04,25.24,1.023,3630.18
2017-jan,446.50,230.00,61.60,67.30,166.30,92.60,24.32,24.82,25.81,26.04,25.24,25.50,1.546,5486.15
2017-fev,297.30,128.90,67.30,166.30,92.60,157.70,24.82,25.81,26.04,25.24,25.50,25.18,1.271,4509.11
2017-mar,295.20,233.60,166.30,92.60,157.70,124.50,25.81,26.04,25.24,25.50,25.18,23.24,1.810,6424.36
2017-abr,326.20,258.90,92.60,157.70,124.50,168.20,26.04,25.24,25.50,25.18,23.24,22.10,4.612,16364.43
2017-mai,416.60,250.30,157.70,124.50,168.20,218.50,25.24,25.50,25.18,23.24,22.10,19.99,3.980,14124.19
2017-jun,374.80,282.20,124.50,168.20,218.50,31.90,25.50,25.18,23.24,22.10,19.99,20.95,3.797,13474.19
2017-jul,450.40,292.70,168.20,218.50,31.90,136.60,25.18,23.24,22.10,19.99,20.95,21.80,1.979,7021.21
2017-ago,511.20,386.70,218.50,31.90,136.60,44.20,23.24,22.10,19.99,20.95,21.80,23.10,0.823,2918.86
2017-set,418.60,250.40,31.90,136.60,44.20,130.40,22.10,19.99,20.95,21.80,23.10,23.30,0.621,2203.45
